
The station contributions are:
    Name     Contribution  %Contribution   Accumulated cont.    Magnitude
1) KOK0    106093.376        3.224              3.224              2.209
2) MKEA    93687.739        2.847              6.071              2.036
3) KRTM    79055.245        2.402              8.474              1.302
4) HIL0    71667.887        2.178              10.651              1.958
5) MAUI    70031.250        2.128              12.780              1.917
6) FARB    59171.102        1.798              14.578              4.516
7) HNLC    49937.821        1.518              16.095              2.671
8) KOKB    47821.597        1.453              17.549              2.492
9) UCLP    45617.496        1.386              18.935              2.072
10) CSN1    36136.870        1.098              20.033              1.038
11) FGST    32987.651        1.002              21.035              2.888
12) CIT1    32816.477        0.997              22.033              3.997
13) WHC1    30297.138        0.921              22.953              2.984
14) ORES    29893.465        0.908              23.862              2.552
15) MAT9    29295.321        0.890              24.752              4.017
16) CSCI    28227.842        0.858              25.610              1.184
17) CBHS    27965.398        0.850              26.460              0.165
18) LFRS    27947.951        0.849              27.309              2.543
19) COPR    26849.571        0.816              28.125              2.449
20) SPK1    26688.532        0.811              28.936              0.228
21) OXYC    26506.275        0.805              29.741              3.295
22) VAN0    25734.244        0.782              30.524              3.296
23) PAH0    25703.118        0.781              31.305              1.167
24) JPLM    25664.339        0.780              32.085              2.165
25) TORP    25505.974        0.775              32.860              0.653
26) CAT2    24922.409        0.757              33.617              1.591
27) CIRX    24475.763        0.744              34.361              0.788
28) VIMT    23980.162        0.729              35.090              0.988
29) UPO0    23797.091        0.723              35.813              1.786
30) TRAK    23757.888        0.722              36.535              1.664
31) CIC0    23546.838        0.716              37.250              1.032
32) BRAN    23167.552        0.704              37.954              2.802
33) CAT0    22691.900        0.690              38.644              1.454
34) PSDM    22569.266        0.686              39.330              2.992
35) VTIS    22006.308        0.669              39.998              0.690
36) PMAU    21412.366        0.651              40.649              2.347
37) MIG1    20885.427        0.635              41.284              3.607
38) MPWD    20122.294        0.611              41.895              1.222
39) VCST    19726.218        0.599              42.495              1.042
40) MONP    18997.990        0.577              43.072              2.118
41) RCA2    18589.859        0.565              43.637              2.399
42) TOST    18295.983        0.556              44.193              1.432
43) UCSB    17954.663        0.546              44.739              1.932
44) GVRS    17885.795        0.544              45.282              3.070
45) SRS1    17786.984        0.541              45.823              3.265
46) BTDM    17345.353        0.527              46.350              2.815
47) QCY0    17138.626        0.521              46.871              0.858
48) MLO1    16878.806        0.513              47.384              2.501
49) AZU1    16795.811        0.510              47.894              3.595
50) SCIP    16323.665        0.496              48.390              2.706
51) CNPP    16172.505        0.491              48.881              3.803
52) ECFS    15911.759        0.484              49.365              3.064
53) NSSS    15679.216        0.476              49.841              1.792
54) SPW2    15376.368        0.467              50.309              1.816
55) ZHN1    15261.868        0.464              50.773              2.341
56) USLO    15159.814        0.461              51.233              1.780
57) OEOC    14355.825        0.436              51.670              1.609
58) AOA1    14168.763        0.431              52.100              0.854
59) CLAR    14148.555        0.430              52.530              3.405
60) CRU1    13629.756        0.414              52.944              2.546
61) P171    13560.885        0.412              53.356              1.697
62) NOCO    13127.693        0.399              53.755              4.099
63) PVRS    12959.008        0.394              54.149              0.564
64) BBDM    12955.489        0.394              54.543              1.796
65) BAR1    12895.237        0.392              54.935              2.398
66) FZHS    12864.350        0.391              55.326              4.364
67) P473    12805.344        0.389              55.715              1.816
68) OGHS    12665.518        0.385              56.100              1.988
69) SNI1    12355.403        0.375              56.475              3.039
70) P515    12070.216        0.367              56.842              2.937
71) WHYT    11877.006        0.361              57.203              2.211
72) P279    11174.360        0.340              57.542              1.109
73) P483    10803.492        0.328              57.871              2.888
74) P523    10754.910        0.327              58.198              2.292
75) PMHS    10665.902        0.324              58.522              1.776
76) MJPK    10474.977        0.318              58.840              2.064
77) DVLW    10208.047        0.310              59.150              4.825
78) OZST    10139.535        0.308              59.458              1.419
79) CCCS    9834.879        0.299              59.757              2.477
80) SOLI    9626.341        0.293              60.050              1.361
81) CHAF    9590.474        0.291              60.341              1.363
82) P516    9368.943        0.285              60.626              2.136
83) SPMX    9287.767        0.282              60.908              2.213
84) PVE0    9234.474        0.281              61.189              0.283
85) P534    9171.642        0.279              61.467              3.898
86) SIO5    8869.018        0.270              61.737              1.501
87) VNDP    8319.631        0.253              61.990              3.445
88) P514    7897.792        0.240              62.230              2.593
89) P474    7854.669        0.239              62.469              2.673
90) 7HLI    7551.056        0.229              62.698              2.724
91) 0509    7543.629        0.229              62.927              1.264
92) P173    7472.365        0.227              63.154              1.055
93) P180    7444.876        0.226              63.381              0.456
94) TESS    7350.166        0.223              63.604              1.224
95) P472    7127.409        0.217              63.820              2.208
96) CHRS    7089.213        0.215              64.036              1.964
97) FARF    7056.158        0.214              64.250              3.773
98) BARR    6995.083        0.213              64.463              1.877
99) P172    6780.291        0.206              64.669              1.906
100) P525    6723.965        0.204              64.873              1.788
101) TWMS    6551.691        0.199              65.072              3.536
102) P513    6348.159        0.193              65.265              3.122
103) P231    6261.633        0.190              65.456              1.839
104) PVHS    6239.297        0.190              65.645              0.769
105) FIGP    6238.848        0.190              65.835              2.514
106) REFU    6193.701        0.188              66.023              2.326
107) GAIR    6145.201        0.187              66.210              4.851
108) TWIN    6106.096        0.186              66.395              3.710
109) LONG    6082.667        0.185              66.580              2.858
110) P066    6074.484        0.185              66.765              1.680
111) ORVB    6024.546        0.183              66.948              3.459
112) WMAP    5887.718        0.179              67.127              2.029
113) RAAP    5882.906        0.179              67.306              2.459
114) 0512    5805.498        0.176              67.482              1.565
115) DSME    5805.048        0.176              67.658              2.182
116) ANZA    5771.358        0.175              67.834              6.980
117) DOSP    5764.617        0.175              68.009              2.842
118) SFBC    5753.544        0.175              68.184              1.170
119) CA08    5730.459        0.174              68.358              1.236
120) CABL    5669.184        0.172              68.530              0.469
121) 0504    5666.637        0.172              68.702              2.113
122) SJU5    5559.389        0.169              68.871              2.938
123) 0505    5537.629        0.168              69.040              2.801
124) P183    5513.667        0.168              69.207              10.734
125) P478    5432.087        0.165              69.372              2.227
126) COLO    5412.121        0.164              69.537              2.492
127) LTO2    5389.258        0.164              69.701              2.352
128) LLCO    5386.545        0.164              69.864              2.282
129) NIHO    5360.825        0.163              70.027              2.329
130) BLAN    5286.228        0.161              70.188              3.084
131) RAYO    5274.769        0.160              70.348              2.823
132) P476    5155.036        0.157              70.505              3.162
133) ESRW    5083.664        0.154              70.659              5.591
134) P067    5077.222        0.154              70.813              2.357
135) BRU2    5072.960        0.154              70.968              3.363
136) LIH0    5047.323        0.153              71.121              2.476
137) BLUF    5022.152        0.153              71.274              4.784
138) MELR    4997.343        0.152              71.425              2.254
139) ELJA    4989.755        0.152              71.577              1.738
140) CADG    4950.886        0.150              71.728              2.417
141) LOSA    4938.759        0.150              71.878              2.054
142) SAIS    4931.870        0.150              72.028              2.309
143) P479    4905.208        0.149              72.177              5.948
144) CENT    4857.209        0.148              72.324              2.787
145) P185    4825.468        0.147              72.471              7.336
146) SALD    4822.824        0.147              72.617              2.594
147) INDB    4821.838        0.147              72.764              1.713
148) SPMS    4807.084        0.146              72.910              4.016
149) RLOV    4761.065        0.145              73.055              1.753
150) P482    4706.609        0.143              73.198              3.868
151) DSHS    4581.887        0.139              73.337              1.735
152) SM01    4574.413        0.139              73.476              1.942
153) SNRI    4505.292        0.137              73.613              3.852
154) PLO9    4494.427        0.137              73.749              0.555
155) POTR    4490.452        0.136              73.886              1.887
156) PABH    4480.945        0.136              74.022              0.913
157) AMAR    4462.115        0.136              74.158              1.542
158) MORR    4446.910        0.135              74.293              1.369
159) P158    4431.974        0.135              74.428              12.575
160) VDCY    4407.758        0.134              74.561              3.510
161) COND    4366.481        0.133              74.694              2.403
162) ELCH    4290.506        0.130              74.825              1.821
163) DVLE    4235.181        0.129              74.953              5.654
164) P182    4207.520        0.128              75.081              11.694
165) 05VE    4181.608        0.127              75.208              1.556
166) SALI    4161.317        0.126              75.335              1.966
167) TJRN    4141.805        0.126              75.461              2.502
168) P471    4131.907        0.126              75.586              3.099
169) P295    4052.242        0.123              75.709              1.405
170) MAYR    4043.066        0.123              75.832              1.524
171) CHO9    4010.360        0.122              75.954              3.697
172) HOPB    4005.079        0.122              76.076              12.107
173) P526    3987.370        0.121              76.197              1.192
174) LJRN    3968.971        0.121              76.317              4.520
175) IZAA    3950.106        0.120              76.437              3.014
176) P184    3895.065        0.118              76.556              8.064
177) LOSP    3887.883        0.118              76.674              2.791
178) P480    3882.962        0.118              76.792              3.291
179) P189    3855.297        0.117              76.909              14.352
180) 0502    3852.754        0.117              77.026              2.204
181) IPA9    3813.307        0.116              77.142              5.744
182) BLHL    3739.079        0.114              77.256              1.723
183) VA01    3681.191        0.112              77.368              1.973
184) P521    3666.851        0.111              77.479              2.377
185) SANO    3534.152        0.107              77.586              3.102
186) MVFD    3526.210        0.107              77.694              4.830
187) P278    3497.669        0.106              77.800              1.405
188) DESC    3485.337        0.106              77.906              2.423
189) PTSG    3459.531        0.105              78.011              2.660
190) THCP    3441.393        0.105              78.116              9.891
191) NORD    3411.627        0.104              78.219              2.873
192) RHCL    3296.095        0.100              78.319              3.378
193) SUTB    3190.673        0.097              78.416              2.883
194) 1202    3152.537        0.096              78.512              1.310
195) SBIS    3104.711        0.094              78.606              4.065
196) SIER    3061.487        0.093              78.700              3.066
197) GAVI    3058.626        0.093              78.792              0.780
198) DANA    3050.665        0.093              78.885              1.741
199) SD18    3034.761        0.092              78.977              1.440
200) SDHL    2988.992        0.091              79.068              4.261
